zip,provider,zone
05739,Comcast,A
05740,Comcast,A
05741,Comcast,A
05743,Comcast,A
05744,Comcast,A
05745,Comcast,A
05750,Comcast,A
05751,Comcast,A
05753,Comcast,A
05759,Comcast,A
05761,Comcast,A
05763,Comcast,A
05764,Comcast,A
05765,Comcast,A
05767,Comcast,A
05773,Comcast,A
05774,Comcast,A
05775,Comcast,A
05777,Comcast,A
05822,Comcast,A
05823,Comcast,A
05829,Comcast,A
05830,Comcast,A
05833,Comcast,A
05836,Comcast,A
05839,Comcast,A
05843,Comcast,A
05846,Comcast,A
05853,Comcast,A
05855,Comcast,A
05857,Comcast,A
05859,Comcast,A
05860,Comcast,A
05868,Comcast,A
05872,Comcast,A
05874,Comcast,A
05875,Comcast,A
06001,Comcast,A
06002,Comcast,A
06010,Comcast,A
06011,Comcast,A
06013,Comcast,A
06018,Comcast,A
06019,Comcast,A
06023,Comcast,A
06024,Comcast,A
06029,Comcast,A
06030,Comcast,A
06031,Comcast,A
06032,Comcast,A
06037,Comcast,A
06039,Comcast,A
06043,Comcast,A
06051,Comcast,A
06052,Comcast,A
06053,Comcast,A
06058,Comcast,A
06059,Comcast,A
06062,Comcast,A
06066,Comcast,A
06068,Comcast,A
06069,Comcast,A
06070,Comcast,A
06079,Comcast,A
06081,Comcast,A
06084,Comcast,A
06085,Comcast,A
06087,Comcast,A
06089,Comcast,A
06089,Comcast,A
06095,Comcast,A
06103,Comcast,A
06105,Comcast,A
06106,Comcast,A
06107,Comcast,A
06108,Comcast,A
06110,Comcast,A
06112,Comcast,A
06114,Comcast,A
06117,Comcast,A
06118,Comcast,A
06119,Comcast,A
06120,Comcast,A
06154,Comcast,A
06156,Comcast,A
06160,Comcast,A
06231,Comcast,A
06232,Comcast,A
06248,Comcast,A
06254,Comcast,A
06334,Comcast,A
06351,Comcast,A
06360,Comcast,A
06365,Comcast,A
06371,Comcast,A
06401,Comcast,A
06403,Comcast,A
06405,Comcast,A
06405,Comcast,A
06415,Comcast,A
06418,Comcast,A
06420,Comcast,A
06423,Comcast,A
06426,Comcast,A
06437,Comcast,A
06438,Comcast,A
06441,Comcast,A
06442,Comcast,A
06443,Comcast,A
06447,Comcast,A
06447,Comcast,A
06455,Comcast,A
06455,Comcast,A
06456,Comcast,A
06457,Comcast,A
06459,Comcast,A
06471,Comcast,A
06472,Comcast,A
06473,Comcast,A
06475,Comcast,A
06478,Comcast,A
06480,Comcast,A
06481,Comcast,A
06483,Comcast,A
06484,Comcast,A
06492,Comcast,A
06494,Comcast,A
06498,Comcast,A
06510,Comcast,A
06511,Comcast,A
06512,Comcast,A
06512,Comcast,A
06513,Comcast,A
06513,Comcast,A
06514,Comcast,A
06515,Comcast,A
06516,Comcast,A
06517,Comcast,A
06518,Comcast,A
06519,Comcast,A
06520,Comcast,A
06524,Comcast,A
06701,Comcast,A
06702,Comcast,A
06703,Comcast,A
06704,Comcast,A
06705,Comcast,A
06706,Comcast,A
06708,Comcast,A
06710,Comcast,A
06712,Comcast,A
06716,Comcast,A
06720,Comcast,A
06721,Comcast,A
06722,Comcast,A
06723,Comcast,A
06724,Comcast,A
06725,Comcast,A
06726,Comcast,A
06749,Comcast,A
06762,Comcast,A
06770,Comcast,A
06778,Comcast,A
06781,Comcast,A
06782,Comcast,A
06786,Comcast,A
06787,Comcast,A
06801,Comcast,A
06804,Comcast,A
06810,Comcast,A
06811,Comcast,A
06812,Comcast,A
06877,Comcast,A
06901,Comcast,A
06902,Comcast,A
06903,Comcast,A
06904,Comcast,A
06905,Comcast,A
06906,Comcast,A
06907,Comcast,A
06908,Comcast,A
06909,Comcast,A
06910,Comcast,A
06911,Comcast,A
06912,Comcast,A
06913,Comcast,A
06914,Comcast,A
06920,Comcast,A
06921,Comcast,A
06922,Comcast,A
06925,Comcast,A
06926,Comcast,A
06927,Comcast,A
06928,Comcast,A
07001                                                                                                                    ,Comcast,A
07003                                                                                                                    ,Comcast,A
