zip,provider,zone
95324,Charter,A
95326,Charter,A
95328,Charter,A
95334,Charter,A
95351,Charter,A
95354,Charter,A
95355,Charter,A
95356,Charter,A
95357,Charter,A
95358,Charter,A
95361,Charter,A
95366,Charter,A
95367,Charter,A
95368,Charter,A
95380,Charter,A
95382,Charter,A
95386,Charter,A
95388,Charter,A
95501,Charter,A
95531,Charter,A
95532,Charter,A
95543,Charter,A
95567,Charter,A
95661,Charter,A
95816,Charter,A
96001,Charter,A
96002,Charter,A
96003,Charter,A
96007,Charter,A
96019,Charter,A
96022,Charter,A
96055,Charter,A
96073,Charter,A
96080,Charter,A
96089,Charter,A
96099,Charter,A
96101,Charter,A
96140,Charter,A
96143,Charter,A
96145,Charter,A
96146,Charter,A
96148,Charter,A
96150,Charter,A
96161,Charter,A
80002,Charter,A
80014,Charter,A
80109,Charter,A
80111,Charter,A
80206,Charter,A
80221,Charter,A
80234,Charter,A
80301,Charter,A
80461,Charter,A
80487,Charter,A
80653,Charter,A
80701,Charter,A
80705,Charter,A
80722,Charter,A
80723,Charter,A
80728,Charter,A
80733,Charter,A
80751,Charter,A
80926,Charter,A
81004,Charter,A
81019,Charter,A
81030,Charter,A
81039,Charter,A
81050,Charter,A
81052,Charter,A
81058,Charter,A
81067,Charter,A
81069,Charter,A
81077,Charter,A
81089,Charter,A
81101,Charter,A
81132,Charter,A
81136,Charter,A
81144,Charter,A
81146,Charter,A
81201,Charter,A
81211,Charter,A
81212,Charter,A
81220,Charter,A
81221,Charter,A
81226,Charter,A
81227,Charter,A
81228,Charter,A
81236,Charter,A
81240,Charter,A
81242,Charter,A
81244,Charter,A
81251,Charter,A
81252,Charter,A
81253,Charter,A
81290,Charter,A
81301,Charter,A
81303,Charter,A
81321,Charter,A
81323,Charter,A
81324,Charter,A
81326,Charter,A
81328,Charter,A
81330,Charter,A
81401,Charter,A
81403,Charter,A
81415,Charter,A
81416,Charter,A
81425,Charter,A
81428,Charter,A
81501,Charter,A
81503,Charter,A
81504,Charter,A
81505,Charter,A
81506,Charter,A
81507,Charter,A
81520,Charter,A
81521,Charter,A
81524,Charter,A
81526,Charter,A
81624,Charter,A
81625,Charter,A
81638,Charter,A
81639,Charter,A
81640,Charter,A
81641,Charter,A
81648,Charter,A
81650,Charter,A
81653,Charter,A
6013,Charter,A
6019,Charter,A
